id,name
0,accessable
1,accessible
2,achievable
3,achievible
4,adaptable
5,adjustable
6,admirable
7,admiring
8,adorable
9,adoring
10,advantageous
11,adventurous
12,affable
13,affordable
14,afordable
15,agreeable
16,alluring
17,amazing
18,ambitious
19,amenable
20,amiable
21,amicable
22,amusing
23,appealing
24,appreciable
25,assuring
26,astonishing
27,astounding
28,audible
29,auspicious
30,autonomous
31,available
32,beauteous
33,beckoning
34,believable
35,believeable
36,best-performing
37,best-selling
38,blessing
39,booming
40,breathtaking
41,calming
42,capable
43,captivating
44,charitable
45,charming
46,chivalrous
47,comfortable
48,comforting
49,commendable
50,commodious
51,compatible
52,conscientious
53,convincing
54,cost-saving
55,courageous
56,courteous
57,credible
58,daring
59,darling
60,dashing
61,dazzling
62,defeating
63,delectable
64,delicious
65,dependable
66,deserving
67,desirable
68,desiring
69,desirous
70,detachable
71,dexterous
72,dextrous
73,dumbfounding
74,durable
75,easing
76,easygoing
77,efficacious
78,enchanting
79,encouraging
80,endearing
81,endorsing
82,energy-saving
83,engaging
84,engrossing
85,enjoyable
86,enjoying
87,ennoble
88,enterprising
89,entertaining
90,enticing
91,entrancing
92,enviable
93,envious
94,equitable
95,everlasting
96,exalting
97,exceeding
98,exciting
99,exhilarating
100,eye-catching
101,eyecatching
102,fabulous
103,famous
104,fancinating
105,fascinating
106,fashionable
107,fast-growing
108,fastest-growing
109,favorable
110,feasible
111,fecilitous
112,felicitous
113,fine-looking
114,flattering
115,flexible
116,flourishing
117,formidable
118,fortuitous
119,gaining
120,generous
121,glamorous
122,glimmering
123,glistening
124,glorious
125,glowing
126,gorgeous
127,gracious
128,gratifying
129,groundbreaking
130,hard-working
131,harmonious
132,heartening
133,heartwarming
134,helping
135,hilarious
136,honorable
137,honoring
138,hospitable
139,humble
140,humorous
141,humourous
142,illuminating
143,illustrious
144,impeccable
145,improving
146,incredible
147,industrious
148,inestimable
149,infallible
150,ingenious
151,ingenuous
152,innocuous
153,inspiring
154,intelligible
155,interesting
156,intriguing
157,invaluable
158,invigorating
159,invincible
160,inviolable
161,invulnerable
162,irreplaceable
163,irreproachable
164,irresistible
165,jaw-droping
166,jaw-dropping
167,joyous
168,judicious
169,knowledgeable
170,laudable
171,law-abiding
172,leading
173,likable
174,liking
175,long-lasting
176,lovable
177,loving
178,luminous
179,lustrous
180,luxurious
181,magnanimous
182,manageable
183,maneuverable
184,marvellous
185,marvelous
186,memorable
187,meritorious
188,mesmerizing
189,meticulous
190,mind-blowing
191,miraculous
192,momentous
193,navigable
194,nimble
195,noble
196,nourishing
197,nurturing
198,obtainable
199,outperforming
200,outstanding
201,overtaking
202,peaceable
203,pepping
204,permissible
205,pleasing
206,pleasurable
207,portable
208,praising
209,precious
210,preferable
211,preferring
212,prestigious
213,prodigious
214,promising
215,propitious
216,prosperous
217,proving
218,raptureous
219,rapturous
220,reachable
221,readable
222,realizable
223,reasonable
224,record-setting
225,rectifying
226,redeeming
227,reforming
228,refreshing
229,rejoicing
230,rejuvenating
231,reliable
232,remarkable
233,replaceable
234,reputable
235,resounding
236,respectable
237,restructuring
238,retractable
239,rewarding
240,righteous
241,satisfying
242,sensible
243,shimmering
244,simplifying
245,smiling
246,sociable
247,solicitous
248,spacious
249,sparkling
250,spellbinding
251,spontaneous
252,stable
253,stimulating
254,striking
255,striving
256,stunning
257,stupendous
258,subsidizing
259,succeeding
260,suitable
261,sumptuous
262,supporting
263,sustainable
264,sweeping
265,tantalizing
266,tempting
267,tenacious
268,thrilling
269,thriving
270,titillating
271,tolerable
272,trusting
273,unassailable
274,unbeatable
275,understandable
276,undisputable
277,unforgettable
278,unquestionable
279,unwavering
280,upgradable
281,upgradeable
282,uplifting
283,usable
284,useable
285,user-replaceable
286,valuable
287,verifiable
288,veritable
289,victorious
290,viewable
291,virtuous
292,vivacious
293,well-being
294,wellbeing
295,willing
296,winnable
297,winning
298,wonderous
299,wondrous
300,workable
301,world-famous
302,wowing
